prescription_text,label,clean_text
Eat small frequent meals,DO,eat small frequent meals
Tab Gelusil after meals,DO,tab gelusil after meals
Avoid alcohol,DONT,avoid alcohol
Consult doctor if pain persists,WARNING,consult doctor if pain persists
Tab Metformin BD after meals,DO,tab metformin twice daily after meals
Tab Metformin SR OD after dinner,DO,tab metformin sr once daily after dinner
Tab Glycomet BD after meals,DO,tab glycomet twice daily after meals
Tab Glimepiride OD before breakfast,DO,tab glimepiride once daily before breakfast
Tab Ajaduo OD after dinner,DO,tab ajaduo once daily after dinner
Monitor blood sugar regularly,WARNING,monitor blood sugar regularly
Do not skip meals,WARNING,do not skip meals
Avoid sugary foods,DONT,avoid sugary foods
Exercise regularly,DO,exercise regularly
Consult doctor if hypoglycemia occurs,WARNING,consult doctor if hypoglycemia occurs
Tab Amlodipine OD daily,DO,tab amlodipine once daily daily
Tab Telmisartan OD in morning,DO,tab telmisartan once daily in morning
Tab Losartan OD daily,DO,tab losartan once daily daily
Tab Atenolol OD in morning,DO,tab atenolol once daily in morning
Tab Acitrom OD at night,DO,tab acitrom once daily at night
Monitor blood pressure daily,WARNING,monitor blood pressure daily
Avoid salty food,DONT,avoid salty food
Do not miss doses,WARNING,do not miss doses
Avoid smoking,DONT,avoid smoking
Consult doctor if dizziness occurs,WARNING,consult doctor if dizziness occurs
Cap Amoxicillin 250mg TDS after meals 5 days,DO,cap amoxicillin 250mg three times daily after meals 5 days
Cap Amoxicillin 500mg TDS after meals 5 days,DO,cap amoxicillin 500mg three times daily after meals 5 days
Tab Azithromycin OD daily 3 days,DO,tab azithromycin once daily daily 3 days
Tab Ciprofloxacin BD after meals 5 days,DO,tab ciprofloxacin twice daily after meals 5 days
Complete full course of antibiotics,WARNING,complete full course of antibiotics
Do not stop medicine early,WARNING,do not stop medicine early
Avoid alcohol during antibiotic course,DONT,avoid alcohol during antibiotic course
Tab Cefixime BD after meals 5 days,DO,tab cefixime twice daily after meals 5 days
Consult doctor if rash appears,WARNING,consult doctor if rash appears
Take probiotics if advised,DO,take probiotics if advised
Tab A to Z Woman OD daily,DO,tab a to z woman once daily daily
Tab Absolut Woman OD daily,DO,tab absolut woman once daily daily
Tab Iron Folic Acid OD daily,DO,tab iron folic acid once daily daily
Take after meals,DO,take after meals
Avoid tea or coffee with iron,DONT,avoid tea or coffee with iron
Continue supplement for 30 days,WARNING,continue supplement for 30 days
Consult doctor if nausea occurs,WARNING,consult doctor if nausea occurs
Drink plenty of water,DO,drink plenty of water
Do not overdose supplements,WARNING,do not overdose supplements
Maintain balanced diet,DO,maintain balanced diet
Tab Alfusin OD at bedtime,DO,tab alfusin once daily at bedtime
Tab Tamsulosin OD at night,DO,tab tamsulosin once daily at night
Drink plenty of water,DO,drink plenty of water
Avoid holding urine,DONT,avoid holding urine
Do not drive after first dose,WARNING,do not drive after first dose
Consult doctor if dizziness occurs,WARNING,consult doctor if dizziness occurs
Tab Finasteride OD daily,DO,tab finasteride once daily daily
Avoid alcohol,DONT,avoid alcohol
Monitor urinary symptoms,WARNING,monitor urinary symptoms
Follow up after 2 weeks,WARNING,follow up after 2 weeks
Take medicine exactly as prescribed,WARNING,take medicine exactly as prescribed
Do not crush or chew tablet,WARNING,do not crush or chew tablet
Store medicine in cool dry place,WARNING,store medicine in cool dry place
Keep medicines away from children,WARNING,keep medicines away from children
Avoid self medication,DONT,avoid self medication
Consult doctor if symptoms worsen,WARNING,consult doctor if symptoms worsen
Do not take expired medicines,WARNING,do not take expired medicines
Follow dietary advice strictly,WARNING,follow dietary advice strictly
Take medicine with water only,DO,take medicine with water only
Avoid driving if drowsy,WARNING,avoid driving if drowsy
